Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,baseline /v1/chat/completions,32,0,38000,36154.21908456256,15554.97128499701,48097.60517799441,2375.59375,0.2721403038848905,0.0,39000,43000,45000,45000,46000,47000,48000,48000,48000,48000,48000
POST,fp8 /v1/chat/completions,32,0,39000,36659.584167250156,14954.761879002035,46911.56422399945,2304.71875,0.2721403038848905,0.0,39000,43000,45000,45000,46000,47000,47000,47000,47000,47000,47000
,Aggregated,64,0,39000,36406.90162590636,14954.761879002035,48097.60517799441,2340.15625,0.544280607769781,0.0,39000,43000,45000,45000,46000,47000,47000,48000,48000,48000,48000
