Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,fp8 /v1/chat/completions,64,0,18000,19857.546828687642,10214.557841994974,28958.310207999602,2311.8125,0.5543695285130845,0.0,18000,21000,23000,24000,27000,27000,28000,29000,29000,29000,29000
,Aggregated,64,0,18000,19857.546828687642,10214.557841994974,28958.310207999602,2311.8125,0.5543695285130845,0.0,18000,21000,23000,24000,27000,27000,28000,29000,29000,29000,29000
