Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,baseline /v1/chat/completions,41,0,33000,29850.53325307352,11308.494197000982,34908.697288999974,2479.4634146341464,0.34785680916012934,0.0,33000,34000,34000,34000,34000,34000,35000,35000,35000,35000,35000
,Aggregated,41,0,33000,29850.53325307352,11308.494197000982,34908.697288999974,2479.4634146341464,0.34785680916012934,0.0,33000,34000,34000,34000,34000,34000,35000,35000,35000,35000,35000
